rules,lift,support,confidence,count
"{생선,유제품} => {채소}",13.590388,0.002376029,0.535173082,11054
"{농산가공,유제품,햄} => {채소}",13.56148536,0.001025299,0.534034931,4770
"{위생세제,유기농채소} => {농산가공}",13.55636925,0.001106764,0.500291489,5149
"{우육,유제품} => {농산가공}",13.5446145,0.002264901,0.499857685,10537
"{어묵,일반가공식품} => {채소}",13.52917423,0.00100316,0.532762557,4667
"{농산가공,일반가공식품,채소,청과} => {유제품}",13.50050439,0.001312899,0.616969697,6108
"{농산가공,위생세제,청과} => {유제품}",13.42793305,0.001424027,0.613653205,6625
{햄} => {농산가공},13.42267256,0.003669582,0.495357474,17072
"{유기농채소,일반가공식품} => {농산가공}",13.41131597,0.001544827,0.494938365,7187
"{수입식품,유제품,청과} => {채소}",13.36838901,0.001085269,0.526431029,5049
"{농산가공,어묵} => {채소}",13.35563141,0.001844249,0.52592865,8580
"{음료,일반가공식품,채소} => {유제품}",13.32014985,0.001070438,0.608727539,4980
"{농산가공,일반가공식품,청과} => {유제품}",13.27476845,0.002065645,0.60665362,9610
"{위생세제,일반가공식품,청과} => {유제품}",13.26272495,0.00120392,0.606103236,5601
{냉동식품} => {농산가공},13.20053883,0.002038776,0.487159733,9485
"{농산가공,위생세제,유제품} => {채소}",13.18856945,0.001621133,0.519349952,7542
"{농산가공,위생세제,일반가공식품} => {유제품}",13.18156368,0.001514304,0.602394186,7045
"{농산가공,수입식품,유제품} => {채소}",13.14452187,0.001282161,0.517615411,5965
"{농산가공,음료,채소} => {유제품}",13.13813026,0.001450465,0.600409289,6748
"{유제품,일용잡화} => {농산가공}",13.1376544,0.00100015,0.484839012,4653
"{유제품,즉석반찬} => {농산가공}",13.12669591,0.002020291,0.484434594,9399
"{유기농채소,유제품} => {농산가공}",13.11012476,0.002520043,0.483823044,11724
"{농산가공,수입식품,청과} => {유제품}",13.10655455,0.001096017,0.598966287,5099
"{위생세제,유제품,청과} => {채소}",13.07917719,0.001350515,0.515042217,6283
"{농산가공,일반가공식품} => {채소}",13.07368751,0.004564193,0.51482604,21234
"{음료,채소,청과} => {유제품}",13.04968604,0.001235088,0.59636741,5746
"{일반가공식품,청과} => {농산가공}",13.03341993,0.003404982,0.480992288,15841
"{유기농채소,청과} => {채소}",12.99410458,0.002746813,0.51169216,12779
"{생선,유기농채소} => {농산가공}",12.96943438,0.001136212,0.478630931,5286
"{돈육,청과} => {농산가공}",12.96937045,0.0013503,0.478628571,6282
"{돈육,유제품} => {채소}",12.94831915,0.001562668,0.509889185,7270
"{위생세제,유기농채소} => {채소}",12.87484153,0.001121596,0.506995725,5218
"{우육,유제품} => {채소}",12.85741014,0.002294134,0.506309298,10673
"{농산가공,햄} => {채소}",12.805776,0.001850482,0.504276007,8609
"{농산가공,즉석반찬} => {채소}",12.79707827,0.002189239,0.503933502,10185
"{유기농채소,채소} => {농산가공}",12.79030357,0.003055047,0.472020192,14213
"{일반가공식품,청과} => {채소}",12.77121204,0.003560174,0.502914921,16563
"{즉석반찬,청과} => {농산가공}",12.75122552,0.001749887,0.470578035,8141
"{생선,청과} => {농산가공}",12.72477696,0.002221481,0.469601963,10335
"{농산가공,수입식품,일반가공식품} => {유제품}",12.71950584,0.001215957,0.581278257,5657
"{냉동식품,농산가공} => {채소}",12.6717549,0.001017346,0.498998419,4733
